Invoice ID,Invoice Status,Customer ID,Due Date,PurchaseOrder,SubTotal,Total,Balance,Adjustment,Expected Payment Date,Last Payment Date,Item Name,Item Desc,Quantity,Discount,Discount Amount,Item Total,Item Price,Product ID,SKU,Customer Name,Invoice Date,Invoice Number,Account,Account Code,Sales person,Item Type,Usage Unit
209792000001530255,Closed,209792000000112175,2021-05-15,,607.77,607.77,0.00,0.00,,2021-05-31,Peeled Garlic (Kg),,1,0.00,0.000,150.00,150.00,209792000001112992,7O3Z94XANH,KUND RESTAURANT,2021-05-15,INV-008147,Sales,,,,1 Kg
209792000001530255,Closed,209792000000112175,2021-05-15,,607.77,607.77,0.00,0.00,,2021-05-31,Methi (Kg),,0.8,0.00,0.000,40.00,50.00,209792000001113118,FZINZL01U3,KUND RESTAURANT,2021-05-15,INV-008147,Sales,,,,1 Kg
209792000001530293,Closed,209792000000679295,2021-05-15,,1618.20,1618.20,0.00,0.00,,2021-05-31,Capsicum Red (Big) (Kg),,20,0.00,0.000,1318.00,65.90,209792000001112668,71T3ZBU7RB,POPO VENTURES,2021-05-15,INV-008148,Sales,,,,1 Kg
209792000001530293,Closed,209792000000679295,2021-05-15,,1618.20,1618.20,0.00,0.00,,2021-05-31,Water Melon (Kg),,15.8,0.00,0.000,300.20,19.00,209792000001117543,5WZK08IS16,POPO VENTURES,2021-05-15,INV-008148,Sales,,,,1 Kg
209792000001530309,Closed,209792000000152529,2021-05-15,,2448.30,2448.30,0.00,0.00,,2021-05-31,Tomato Hybrid (Kg),,5,0.00,0.000,65.00,13.00,209792000001113037,4I29EDU302,FLAX-HEALTHY LIVING,2021-05-15,INV-008149,Sales,,,,1 Kg
209792000001530309,Closed,209792000000152529,2021-05-15,,2448.30,2448.30,0.00,0.00,,2021-05-31,Cucumber (Kg),,3,0.00,0.000,44.70,14.90,209792000001112425,ILP1KN4HXZ,FLAX-HEALTHY LIVING,2021-05-15,INV-008149,Sales,,,,1 Kg
209792000001530309,Closed,209792000000152529,2021-05-15,,2448.30,2448.30,0.00,0.00,,2021-05-31,Coriander (Kg),,1,0.00,0.000,45.60,45.60,209792000001113073,ACDMV8A2AA,FLAX-HEALTHY LIVING,2021-05-15,INV-008149,Sales,,,,1 Kg
209792000001530309,Closed,209792000000152529,2021-05-15,,2448.30,2448.30,0.00,0.00,,2021-05-31,Brinjal (Bottle Black) (Kg),,3,0.00,0.000,105.00,35.00,209792000001112659,1U0HDLOMHW,FLAX-HEALTHY LIVING,2021-05-15,INV-008149,Sales,,,,1 Kg
209792000001530309,Closed,209792000000152529,2021-05-15,,2448.30,2448.30,0.00,0.00,,2021-05-31,Zucchini (Green) (Kg),,2,0.00,0.000,158.00,79.00,209792000001112740,9XS4KMGWY9,FLAX-HEALTHY LIVING,2021-05-15,INV-008149,Sales,,,,1 Kg
209792000001530309,Closed,209792000000152529,2021-05-15,,2448.30,2448.30,0.00,0.00,,2021-05-31,Peeled Garlic (Kg),,1.4,0.00,0.000,210.00,150.00,209792000001112992,7O3Z94XANH,FLAX-HEALTHY LIVING,2021-05-15,INV-008149,Sales,,,,1 Kg
